"CompoundID","MACCSKeysFingerprints"
"Cmpd1","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 2 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 1 1 19 1 0 0 3 3 3 0 0 0 0 25 17 20 0 0 21 3 3 0 9 1 0 0 0 23 0 1 0 0 0 20 21 0 1 1 3 0 20 9 1 3 3 3 6 0 3 0 1 6 3 0 28 16 0 0 0 26 3 9 7 33 4 24 1 0 3 33 9 3 4 3 21 1 9 26 23 73 7 46 33 4 24 0 3 33 6 1"
"Cmpd2","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 4 0 0 0 0 3 0 1 2 9 0 0 0 0 0 0 0 0 0 0 6 1 0 1 1 0 0 0 0 2 1 6 3 2 10 2 0 0 5 3 1 0 0 0 2 13 8 10 0 1 13 4 2 0 8 0 0 0 0 9 2 2 0 6 0 11 11 1 1 0 2 3 11 5 2 5 5 1 0 1 4 1 2 1 0 1 17 1 0 0 0 11 5 4 2 14 5 18 2 0 2 14 5 1 5 1 15 2 4 11 9 48 4 30 14 5 18 0 2 14 6 1"
"Cmpd3","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 3 1 1 8 1 0 2 1 4 1 0 0 2 0 13 8 11 0 0 8 1 1 0 6 2 0 0 0 11 0 1 0 0 0 11 12 0 1 0 0 0 11 6 1 8 6 1 0 1 2 0 6 4 1 1 14 4 0 0 0 11 8 5 1 12 0 14 6 0 2 12 6 1 0 5 13 1 5 11 9 39 1 23 12 0 14 0 2 12 4 1"
"Cmpd4","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 6 0 0 1 9 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 8 2 2 10 0 0 3 1 3 1 0 1 0 1 15 8 11 0 0 11 1 1 1 13 2 0 0 1 10 2 2 1 3 1 12 11 0 1 0 2 0 12 6 2 2 2 1 0 0 5 0 1 1 0 0 17 0 0 1 0 12 2 4 2 14 4 17 1 0 5 14 6 1 4 1 15 1 4 12 12 48 2 29 14 4 17 0 5 14 6 1"
"Cmpd5","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 5 13 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 5 0 0 12 1 0 4 1 3 0 0 0 0 2 12 8 14 0 0 16 1 11 0 7 3 0 0 0 17 2 0 0 7 1 14 13 0 0 1 2 1 14 9 0 11 10 0 5 0 3 0 10 8 5 0 22 13 2 0 1 20 11 4 5 26 4 17 10 1 2 26 9 0 4 10 17 2 4 20 19 54 7 31 26 4 17 0 2 26 4 1"
"Cmpd6","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 7 0 0 0 11 0 0 0 0 0 7 1 0 0 1 3 1 11 7 0 12 0 1 0 1 0 0 0 0 1 0 0 0 26 0 11 6 0 0 1 10 6 11 0 0 11 11 7 0 0 0 0 11 2 0 0 5 1 0 0 0 11 11 1 1 12 24 11 11 0 0 12 0 7 24 23 4 1 1 11 6 42 1 29 12 24 11 0 0 12 1 1"
"Cmpd7","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 9 1 0 2 1 5 1 0 0 2 0 11 7 11 0 0 9 1 1 0 6 2 0 0 0 11 0 0 0 0 0 11 12 0 0 0 0 0 11 6 0 8 6 1 0 1 2 0 5 2 2 1 12 3 1 0 0 11 8 5 0 11 0 13 5 0 2 11 6 1 0 6 12 0 5 11 10 38 0 22 11 0 13 0 2 11 4 1"
"Cmpd8","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 2 10 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 5 0 0 7 0 0 1 1 2 0 0 0 2 2 10 4 7 0 0 10 1 1 0 10 0 0 0 0 8 2 0 0 0 1 7 8 1 0 0 0 1 7 3 0 8 6 0 0 1 4 0 5 0 2 1 13 0 1 0 0 7 8 4 3 10 2 10 5 0 3 10 3 0 2 6 10 2 4 7 8 33 3 18 10 2 10 0 3 10 5 1"
"Cmpd9","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 1 1 2 0 0 4 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 4 1 1 1 0 0 4 3 0 0 0 0 2 1 1 3 6 1 1 1 3 1 6 0 1 1 3 0 1 1 1 1 2 2 1 6 1 1 0 1 6 1 1"
"Cmpd10","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 5 0 0 1 0 4 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 4 0 1 0 9 2 4 6 4 0 2 8 6 1 0 0 0 3 4 1 8 0 5 2 7 2 5 6 1 0 4 0 7 20 2 0 22 1 8 7 9 0 0 4 7 8 4 4 12 7 6 0 9 1 0 3 4 4 9 9 9 0 0 2 8 12 2 2 14 11 14 3 2 4 14 4 8 11 12 7 4 2 7 10 53 6 17 14 11 14 0 4 14 12 1"
